,Movie Name,Genre
55, Salem's Lot (2022),"[<span>Horror</span>, <span>
<a href=""/name/nm2477891/"">Gary Dauberman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10245072"">
</a>
</span>]"
56, White Bird: A Wonder Story (2022),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>War</span>, <span>
<a href=""/name/nm0286975/"">Marc Forster</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11068094"">
</a>
</span>]"
57, Untitled Super Mario Project (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1739338/"">Aaron Horvath</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm2398585/"">Michael Jelenic</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6718170"">
</a>
</span>]"
58, Don't Worry Darling (2022),"[<span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1312575/"">Olivia Wilde</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10731256"">
</a>
</span>]"
59, Mission: Impossible 7 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0003160/"">Christopher McQuarrie</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9603212"">
</a>
</span>]"
60, Spider-Man: Across the Spider-Verse - Part One (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm1690966/"">Joaquim Dos Santos</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm5358492/"">Kemp Powers</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1042511/"">Justin K. Thompson</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9362722"">
</a>
</span>]"
61, Halloween Ends (2022),"[<span>Horror</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0337773/"">David Gordon Green</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10665342"">
</a>
</span>]"
62, Ticket to Paradise (2022),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0662530/"">Ol Parker</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt14109724"">
</a>
</span>]"
63, Paranormal Activity 8 (2023),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm10797627/"">Wincent Sommers</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12459328"">
</a>
</span>]"
64, The Flash (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0615592/"">Andy Muschietti</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt0439572"">
</a>
</span>]"
